pool_b_id,dataset,filename,human_score,sealion_score,reason
PB228,ecommerce118k,eaa9322190f55f37f58533f1bb0d8b5b.jpg,5.0,6.5,The large watermark significantly detracts from the image's professional appearance.
PB229,ecommerce118k,2baab54920506babd1a7cb467b478605.jpg,4.25,3.5,The cluttered background and prominent watermarks significantly detract from the product and reduce purchase confidence.
PB230,ecommerce118k,7efb7421e80dca70a08c084468b5069b.jpg,4.0,4.25,"The image is severely cluttered with identical product boxes, making it unappealing and failing to highlight the product effectively."
PB231,ecommerce118k,df2f228a503aaf1ceb356b169541dbf9.jpg,6.5,7.5,"The background is a plain, off-white wall with some slight variations in tone and texture."
PB232,ecommerce118k,f67cd604f9fd0edf4ffa890075165215.jpg,4.0,3.25,"The image is heavily cluttered with promotional text and a size chart, significantly detracting from the product."
PB233,ecommerce118k,22a37a8b850e140fd259928c803f2981.jpg,4.5,4.25,The distracting background elements and seller text significantly detract from the product presentation.
PB234,ecommerce118k,691d69e66d02b8bd16a0b77c2fe61b72.jpg,6.5,5.75,"The image is significantly marred by large seller-added text and watermarks, reducing its commercial appeal."
PB235,ecommerce118k,abd56fb73a5b5b19dea11d0efcf1d597.jpg,6.0,7.75,The product is placed on a light brown wooden surface.
PB236,ecommerce118k,c62deca89e43bc939acba98539bcac63.jpg,4.5,3.25,"The image is heavily cluttered with promotional text and graphics, significantly detracting from the product."
PB237,ecommerce118k,01b2f3e9222c58137411549981f5b377.jpg,7.0,6.25,"The image is significantly marred by large promotional text overlaid on the product, reducing purchase confidence."
PB238,ecommerce118k,116e4b1ef57e8fd9d2fe39210a7d1019.jpg,6.0,6.25,The large hashtag and brand name text overlay significantly detracts from the product's presentation.
PB239,ecommerce118k,899672854fdd6869b39a4dca3d3c5bd2.jpg,5.0,4.25,The excessive and distracting Chinese text overlays significantly reduce the image's commercial appeal and clarity.
PB240,ecommerce118k,e76d403993d0197875455c288db55973.jpg,4.0,6.25,The large watermark significantly detracts from the product and reduces purchase confidence.
PB241,ecommerce118k,0e3e2c673f8bfb00a0be0f5d6a3dd6b0.jpg,7.5,8.75,The product is set against a plain white background.
PB242,ecommerce118k,2545dde5580cfcc65d5cff9acc2ebd6b.jpg,8.5,8.75,The product is set against a gradient white to light grey background.
PB243,ecommerce118k,3e5a3d0cf18e2905388fed1e9d554cdd.jpg,5.0,6.5,The overlaid text and graphic elements detract from the product's presentation.
PB244,ecommerce118k,e128039b5677909ac3f101cbae0e5f40.jpg,5.0,4.0,"The large, distracting text overlay significantly reduces purchase confidence."
PB245,ecommerce118k,7d8ea853e82420bd4b2846e55914f811.jpg,6.5,5.0,The excessive text and logo overlays significantly detract from the product and reduce commercial appeal.
PB246,ecommerce118k,9f75fbe6e563e4bd6bd35601b541b5dc.jpg,6.0,7.75,"The product is placed on a grey, textured surface resembling a perforated metal sheet."
PB247,ecommerce118k,c26d7177f1dd4f9b0b8b78ae5de1b024.jpg,7.5,7.5,"The ring is displayed on a white cushion, with a blurry green and brown surface visible in the background."
PB248,ecommerce118k,e01e45d8daa2efc5f3b174c28df3c124.jpg,7.0,6.25,The blurry and distracting green background detracts from the product and lowers the overall commercial appeal.
PB249,ecommerce118k,1fc0bb0ff0e9ffc7bf7230cf2d2a50c0.jpg,6.5,5.75,The watermark significantly detracts from the image's professional appearance.
PB250,ecommerce118k,4eb1274da7fc38eb3494617eacbba9dc.jpg,5.5,4.5,The large text overlay and cluttered lifestyle background significantly detract from the product.
PB251,ecommerce118k,56fb1902ddd6d81b369792f1cb4b3ce9.jpg,6.0,5.25,The cluttered lifestyle background distracts from the product and reduces its visual impact.
PB252,ecommerce118k,b12482757019ae4a7fe660511069914d.jpg,8.0,8.75,The product is set against a plain white background.
PB253,ecommerce118k,8579ef4642023772ea8d5a1f60c7b3b4.jpg,4.0,3.0,"The image is overwhelmed with distracting text and watermarks, severely reducing its commercial appeal."
PB254,ecommerce118k,8ba0d3ecc54fb70c136daab2f7e5a744.jpg,5.0,4.0,The image is heavily cluttered with promotional text and distracting background elements.
PB255,ecommerce118k,c7e7cca66803e2d4a3fbd387ca763062.jpg,5.0,3.0,"The image is heavily cluttered with promotional text and a distracting background, significantly reducing its commercial appeal."
PB256,ecommerce118k,c7ff12eb42ed2e215472a0f0d41d14f1.jpg,7.5,7.0,The product is displayed on a completely plain white background.
PB257,ecommerce118k,2ba9defc95300b96bd9bbe0a756df8d8.jpg,6.0,6.25,The prominent and distracting Playboy logos significantly detract from the product's appeal and brand image.
PB258,ecommerce118k,8053286098b953d5f4410f945aa742a7.jpg,4.0,5.75,The cluttered background significantly detracts from the product and reduces purchase confidence.
PB259,ecommerce118k,8dd23bc4db5d81cbf88e2ae9a6a3abf6.jpg,6.0,6.75,The background is a distracting retail environment that detracts from the product.
PB260,ecommerce118k,c7c250d7cc566c2088f08bf3eb8d8191.jpg,7.0,8.5,The shoes are shown on a person's feet with a wooden floor visible in the background.
PB261,ecommerce118k,36ab97f46b239b24ac04d042b0a17b20.jpg,8.5,8.5,The product is set against a plain white background with a subtle grey shadow.
PB262,ecommerce118k,39dccbb034a3dac58fa7eb02eb2f8a7e.jpg,6.0,6.25,The cluttered retail background distracts from the product and reduces its commercial appeal.
PB263,ecommerce118k,a7927616396f68ee53a6d08b193e5c58.jpg,8.0,8.5,"The background is a solid, slightly off-white colour."
PB264,ecommerce118k,f2ae149a82a3566a932a5d4a67204d79.jpg,5.0,5.0,The image is significantly detracted by the social media icons and heart symbol overlaid on the image.
PB265,ecommerce118k,2341cf619574dbe60aa3f67d9dd95c33.jpg,6.5,6.5,The visible watermark significantly detracts from the image's professional appearance.
PB266,ecommerce118k,3ad68e31747cadffc25acd7dc6ea511d.jpg,8.5,8.5,"The product is set against a dark, gradient grey background with a subtle reflection."
PB267,ecommerce118k,4595a1af328dc891eace9238627ea58d.jpg,8.5,8.25,The product is set against a plain white background with a slight gradient and shadow.
PB268,ecommerce118k,8fcad5d01ae2fd39732efb951313ab91.jpg,4.25,5.25,"The image is significantly cluttered with seller-added text and graphics, reducing its commercial appeal."
PB269,ecommerce118k,10cd35840b34d65c595b0791aafa26ba.jpg,4.0,4.75,"The image is overwhelmingly cluttered with numerous products, making it difficult to focus on any single item."
PB270,ecommerce118k,2308e4d4a37b90ec3366d8ba303296aa.jpg,8.5,8.75,"The product is set against a plain, light grey background."
PB271,ecommerce118k,59c644cac27731cdfb984e24f5f3f389.jpg,8.5,8.75,The product is set against a dark grey gradient background.
PB272,ecommerce118k,5b00302d1eeca285f3a2728466c8347a.jpg,6.0,7.75,The product is displayed on a light blue surface with visible creases and imperfections.
PB273,ecommerce118k,58aaed5d62f0c91ea77471471c554589.jpg,8.0,8.75,The product is set against a completely white background.
PB274,ecommerce118k,7bb2ef1dd00548bc7cf3092ef28a2c9d.jpg,3.75,4.75,"The image is heavily overlaid with seller text and watermarks, significantly reducing its commercial appeal."
PB275,ecommerce118k,a3c6aec74e647ae16d3ba28980f535a5.jpg,6.5,7.75,"The background is a blurred, out-of-focus image of a patterned suitcase, suggesting a travel or packing context."
PB276,ecommerce118k,aa28d865c4124d660972b53a53c31678.jpg,7.5,7.75,The product is placed on a light grey surface with a blurred white wall and some greenery visible in the background.
PB277,ecommerce118k,09c640ebb803bbbb0a8f4459f5d1b5ac.jpg,4.0,3.0,"The image is severely cluttered with distracting text and a busy background, reducing purchase confidence."
PB278,ecommerce118k,26e34cea7dc2404a8b0b0fa7682faf6a.jpg,5.0,4.75,The distracting background and large size/text overlay reduce purchase confidence.
PB279,ecommerce118k,7804b48cbe9dfebc2cce1a1afb75a5c6.jpg,4.5,5.25,"The large, distracting watermark and low commercial appeal significantly reduce purchase confidence."
PB280,ecommerce118k,998111c512d888c7912a626f1ebb7263.jpg,8.5,7.0,"The product is placed on a white surface with a blurred, abstract white shape and a black frame partially visible in the background."
PB281,ecommerce118k,9e81107b1495762a5e8445712a5b746a.jpg,7.0,6.75,The product is set against a plain white background.
PB282,ecommerce118k,b55e1abe8795d52d3a4a32d4e487e2c2.jpg,7.0,4.25,"The image is heavily marred by a large, distracting watermark and a cluttered, unappealing background."
PB283,ecommerce118k,c0a683d49d2da63b4febd0c7964b49c3.jpg,7.5,8.0,"The product is displayed against a plain, light grey background."
PB284,ecommerce118k,e6a8dadb6fe43b4ea26c493e7108082b.jpg,7.5,6.75,The prominent watermark significantly detracts from the image's professional appearance.
PB285,ecommerce118k,0121323861cc914789ae1407534851b1.jpg,4.0,4.0,The image is heavily cluttered with distracting text overlays and a busy retail background.
PB286,ecommerce118k,3ffedbf390a3ee6865d9d1563054b184.jpg,5.5,6.25,"The image is heavily overlaid with seller-added text and colour swatches, which detracts from the product's presentation."
PB287,ecommerce118k,948fa73cab1ba39103d60b0dcc9a6e72.jpg,8.5,8.5,"The background is a plain, light grey concrete or wall surface."
PB288,ecommerce118k,ff64509ead2ea85eb49f49dd0f10f2fd.jpg,5.5,5.5,The distracting snowflakes and low score for text/watermark significantly reduce the image's professional quality.
PB289,ecommerce118k,69335858be367ff0174177417a3d5e64.jpg,8.5,8.75,The background is a plain white surface.
PB290,ecommerce118k,7d7466681988b5ca625ea873e0387044.jpg,4.0,3.5,The cluttered background and excessive text overlays significantly detract from the product and reduce purchase confidence.
PB291,ecommerce118k,7e1472c96658eb66b5df9f23f6ce50ad.jpg,6.5,5.75,The cluttered and distracting background significantly detracts from the product and reduces its commercial appeal.
PB292,ecommerce118k,e749c3e662e6872ea0e1a6b29e8499ac.jpg,7.0,6.5,The cluttered urban background distracts from the dress and handbag.
PB293,ecommerce118k,1b5d8740b8410132b5c2f6343a44d3e0.jpg,4.0,4.25,"The image is dominated by distracting text overlays, significantly reducing its commercial appeal."
PB294,ecommerce118k,20a565ef10d92ba3558cfa28ac5730d3.jpg,7.5,6.5,The product is displayed against a completely white background.
PB295,ecommerce118k,5ad23f4bb2556ec20e6b55922fb85cdb.jpg,6.0,6.5,"The large, distracting watermark significantly reduces the image's professional quality."
PB296,ecommerce118k,cc2dbe61f2aff06c52c745ebd9218228.jpg,4.5,5.0,"The image is heavily marred by large, distracting seller watermarks and text overlays."
PB297,ecommerce118k,8668dcd822ae530047f8f96b65f4e397.jpg,6.0,5.75,The large watermark significantly detracts from the image's professional appearance.
PB298,ecommerce118k,b5614518e0a469e1579604a89f80e90f.jpg,5.0,5.0,"The image is heavily overlaid with distracting seller text, significantly reducing its commercial appeal."
PB299,ecommerce118k,b64ed1f4c81d198fc1d0538a7532a5fe.jpg,4.5,4.75,The excessive text overlays significantly detract from the product's presentation and reduce purchase confidence.
PB300,ecommerce118k,f8bfa244eed4822081d381c5e5b8c132.jpg,4.5,3.5,The image is heavily cluttered with distracting text overlays and promotional graphics.
